frame,time_seconds,left_x,left_z,right_x,right_z,player_x,player_y,player_z
0,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.016667,-1.000000,0.000000,0.000000,0.000000,0.007053,1.799275,-0.001925
2,0.033333,-1.000000,0.000000,0.000000,0.000000,0.006568,1.799971,-0.001926
3,0.050000,-1.000000,0.000000,0.000000,0.000000,0.005475,1.800561,-0.001924
4,0.066667,-1.000000,0.000000,0.000000,0.000000,0.003545,1.801579,-0.001919
5,0.083333,-1.000000,0.000000,0.000000,0.000000,0.000587,1.803115,-0.001905
6,0.100000,-1.000000,0.000000,0.000000,0.000000,-0.003554,1.805242,-0.001875
7,0.116667,-1.000000,0.000000,0.000000,0.000000,-0.009003,1.808018,-0.001820
8,0.133333,-1.000000,0.000000,0.000000,0.000000,-0.015854,1.811490,-0.001727
9,0.150000,-1.000000,0.000000,0.000000,0.000000,-0.024182,1.815690,-0.001583
10,0.166667,-1.000000,0.000000,0.000000,0.000000,-0.034040,1.820638,-0.001371
11,0.183333,-1.000000,0.000000,0.000000,0.000000,-0.045466,1.826344,-0.001073
12,0.200000,-1.000000,0.000000,0.000000,0.000000,-0.058485,1.832807,-0.000671
13,0.216667,-1.000000,0.000000,0.000000,0.000000,-0.073109,1.840017,-0.000146
14,0.233333,-1.000000,0.000000,0.000000,0.000000,-0.089342,1.847960,0.000520
15,0.250000,-1.000000,0.000000,0.000000,0.000000,-0.107182,1.856612,0.001347
16,0.266667,-1.000000,0.000000,0.000000,0.000000,-0.126619,1.865947,0.002350
17,0.283333,-1.000000,0.000000,0.000000,0.000000,-0.147639,1.875931,0.003547
18,0.300000,-1.000000,0.000000,0.000000,0.000000,-0.170223,1.886525,0.004949
19,0.316667,-1.000000,0.000000,0.000000,0.000000,-0.194351,1.897687,0.006569
20,0.333333,-1.000000,0.000000,0.000000,0.000000,-0.219997,1.909369,0.008418
21,0.350000,-1.000000,0.000000,0.000000,0.000000,-0.247138,1.921518,0.010500
22,0.366667,-1.000000,0.000000,0.000000,0.000000,-0.275743,1.934083,0.012823
23,0.383333,-1.000000,0.000000,0.000000,0.000000,-0.305786,1.947006,0.015388
24,0.400000,-1.000000,0.000000,0.000000,0.000000,-0.337234,1.960229,0.018195
25,0.416667,-1.000000,0.000000,0.000000,0.000000,-0.370058,1.973692,0.021243
26,0.433333,-1.000000,0.000000,0.000000,0.000000,-0.404225,1.987334,0.024527
27,0.450000,-1.000000,0.000000,0.000000,0.000000,-0.439702,2.001091,0.028042
28,0.466667,-1.000000,0.000000,0.000000,0.000000,-0.476456,2.014901,0.031781
29,0.483334,-1.000000,0.000000,0.000000,0.000000,-0.514454,2.028693,0.035734
30,0.500000,-1.000000,0.000000,0.000000,0.000000,-0.553660,2.042400,0.039891
31,0.516667,-1.000000,0.000000,0.000000,0.000000,-0.594041,2.055949,0.044241
32,0.533333,-1.000000,0.000000,0.000000,0.000000,-0.635563,2.069265,0.048773
33,0.550000,-1.000000,0.000000,0.000000,0.000000,-0.678190,2.082271,0.053472
34,0.566667,-1.000000,0.000000,0.000000,0.000000,-0.721888,2.094887,0.058327
35,0.583333,-1.000000,0.000000,0.000000,0.000000,-0.766623,2.107024,0.063322
36,0.600000,-1.000000,0.000000,0.000000,0.000000,-0.812360,2.118591,0.068444
37,0.616667,-1.000000,0.000000,0.000000,0.000000,-0.859065,2.129488,0.073678
38,0.633333,-1.000000,0.000000,0.000000,0.000000,-0.906704,2.139601,0.079012
39,0.650000,-1.000000,0.000000,0.000000,0.000000,-0.955243,2.148807,0.084431
40,0.666667,-1.000000,0.000000,0.000000,0.000000,-1.004650,2.156973,0.089921
41,0.683333,-1.000000,0.000000,0.000000,0.000000,-1.054893,2.163908,0.095469
42,0.700000,-1.000000,0.000000,0.000000,0.000000,-1.105937,2.169435,0.101062
43,0.716667,-1.000000,0.000000,0.000000,0.000000,-1.157753,2.173352,0.106688
44,0.733333,-1.000000,0.000000,0.000000,0.000000,-1.210310,2.175497,0.112335
45,0.750000,-1.000000,0.000000,0.000000,0.000000,-1.263577,2.175742,0.117990
46,0.766667,-1.000000,0.000000,0.000000,0.000000,-1.317524,2.173991,0.123645
47,0.783333,-1.000000,0.000000,0.000000,0.000000,-1.372123,2.170175,0.129287
48,0.800000,-1.000000,0.000000,0.000000,0.000000,-1.427347,2.164248,0.134908
49,0.816667,-1.000000,0.000000,0.000000,0.000000,-1.483166,2.156188,0.140498
50,0.833333,-1.000000,0.000000,0.000000,0.000000,-1.539556,2.145989,0.146049
51,0.850000,-1.000000,0.000000,0.000000,0.000000,-1.596490,2.133664,0.151554
52,0.866666,-1.000000,0.000000,0.000000,0.000000,-1.653943,2.119239,0.157005
53,0.883333,-1.000000,0.000000,0.000000,0.000000,-1.711892,2.102753,0.162394
54,0.900000,-1.000000,0.000000,0.000000,0.000000,-1.770313,2.084255,0.167718
55,0.916666,-1.000000,0.000000,0.000000,0.000000,-1.829184,2.063806,0.172969
56,0.933333,-1.000000,0.000000,0.000000,0.000000,-1.888482,2.041471,0.178142
57,0.950000,-1.000000,0.000000,0.000000,0.000000,-1.948188,2.017327,0.183235
58,0.966666,-1.000000,0.000000,0.000000,0.000000,-2.008281,1.991453,0.188241
59,0.983333,-0.707107,0.707107,0.000000,0.000000,-2.068741,1.963938,0.193159
60,1.000000,-0.707107,0.707107,0.000000,0.000000,-2.129492,1.934878,0.198102
61,1.016666,-0.707107,0.707107,0.000000,0.000000,-2.190459,1.904376,0.203174
62,1.033333,-0.707107,0.707107,0.000000,0.000000,-2.251525,1.872542,0.208573
63,1.050000,-0.707107,0.707107,0.000000,0.000000,-2.312591,1.839489,0.214458
64,1.066666,-0.707107,0.707107,0.000000,0.000000,-2.373572,1.805334,0.220965
65,1.083333,-0.707107,0.707107,0.000000,0.000000,-2.434399,1.770194,0.228202
66,1.100000,-0.707107,0.707107,0.000000,0.000000,-2.495014,1.734185,0.236258
67,1.116666,-0.707107,0.707107,0.000000,0.000000,-2.555371,1.697425,0.245202
68,1.133333,-0.707107,0.707107,0.000000,0.000000,-2.615433,1.660033,0.255088
69,1.150000,-0.707107,0.707107,0.000000,0.000000,-2.675171,1.622124,0.265958
70,1.166666,-0.707107,0.707107,0.000000,0.000000,-2.734566,1.583817,0.277839
71,1.183333,-0.707107,0.707107,0.000000,0.000000,-2.793600,1.545228,0.290753
72,1.200000,-0.707107,0.707107,0.000000,0.000000,-2.852266,1.506474,0.304709
73,1.216666,-0.707107,0.707107,0.000000,0.000000,-2.910558,1.467669,0.319712
74,1.233333,-0.707107,0.707107,0.000000,0.000000,-2.968474,1.428929,0.335761
75,1.250000,-0.707107,0.707107,0.000000,0.000000,-3.026016,1.390368,0.352848
76,1.266666,-0.707107,0.707107,0.000000,0.000000,-3.083190,1.352098,0.370962
77,1.283333,-0.707107,0.707107,0.000000,0.000000,-3.140001,1.314231,0.390091
78,1.299999,-0.707107,0.707107,0.000000,0.000000,-3.196456,1.276873,0.410216
79,1.316666,-0.707107,0.707107,0.000000,0.000000,-3.252567,1.240129,0.431318
80,1.333333,-0.707107,0.707107,0.000000,0.000000,-3.308343,1.204100,0.453377
81,1.349999,-0.707107,0.707107,0.000000,0.000000,-3.363794,1.168881,0.476370
82,1.366666,-0.707107,0.707107,0.000000,0.000000,-3.418934,1.134567,0.500274
83,1.383333,-0.707107,0.707107,0.000000,0.000000,-3.473773,1.101284,0.525064
84,1.399999,-0.707107,0.707107,0.000000,0.000000,-3.528323,1.069155,0.550715
85,1.416666,-0.707107,0.707107,0.000000,0.000000,-3.582596,1.038330,0.577204
86,1.433333,-0.707107,0.707107,0.000000,0.000000,-3.636603,1.008945,0.604503
87,1.449999,-0.707107,0.707107,0.000000,0.000000,-3.690356,0.981127,0.632588
88,1.466666,-0.707107,0.707107,-1.000000,0.000000,-3.743865,0.954987,0.661434
89,1.483333,-0.707107,0.707107,-1.000000,0.000000,-3.797143,0.930589,0.691015
90,1.499999,-0.707107,0.707107,-1.000000,0.000000,-3.850194,0.907983,0.721310
91,1.516666,-1.000000,0.000000,-1.000000,0.000000,-3.903019,0.887180,0.752302
92,1.533333,-1.000000,0.000000,-1.000000,0.000000,-3.955670,0.868207,0.783866
93,1.549999,-1.000000,0.000000,-1.000000,0.000000,-4.008193,0.851083,0.815892
